#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
steam                                             ([no block])                                                                     = Steam
creosote                                          ([no block])                                                                     = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          (tconstruct:molten_platinum)                                                     = Molten Platinum
iridium                                           (tconstruct:molten_iridium)                                                      = Molten Iridium
invar                                             (tconstruct:molten_invar)                                                        = Molten Invar
constantan                                        (tconstruct:molten_constantan)                                                   = Molten Constantan
signalum                                          (tconstruct:molten_signalum)                                                     = Molten Signalum
lumium                                            (tconstruct:molten_lumium)                                                       = Molten Lumium
enderium                                          (tconstruct:molten_enderium)                                                     = Molten Enderium
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
oil                                               (buildcraftenergy:fluid_block_oil_heat_0)                                        = buildcraft.fluid.heat_0 [fluid.oil]
oil_heat_1                                        (buildcraftenergy:fluid_block_oil_heat_1)                                        = buildcraft.fluid.heat_1 [fluid.oil]
oil_heat_2                                        (buildcraftenergy:fluid_block_oil_heat_2)                                        = buildcraft.fluid.heat_2 [fluid.oil]
oil_residue                                       (buildcraftenergy:fluid_block_oil_residue_heat_0)                                = buildcraft.fluid.heat_0 [fluid.oil_residue]
oil_residue_heat_1                                (buildcraftenergy:fluid_block_oil_residue_heat_1)                                = buildcraft.fluid.heat_1 [fluid.oil_residue]
oil_residue_heat_2                                (buildcraftenergy:fluid_block_oil_residue_heat_2)                                = buildcraft.fluid.heat_2 [fluid.oil_residue]
oil_heavy                                         (buildcraftenergy:fluid_block_oil_heavy_heat_0)                                  = buildcraft.fluid.heat_0 [fluid.oil_heavy]
oil_heavy_heat_1                                  (buildcraftenergy:fluid_block_oil_heavy_heat_1)                                  = buildcraft.fluid.heat_1 [fluid.oil_heavy]
oil_heavy_heat_2                                  (buildcraftenergy:fluid_block_oil_heavy_heat_2)                                  = buildcraft.fluid.heat_2 [fluid.oil_heavy]
oil_dense                                         (buildcraftenergy:fluid_block_oil_dense_heat_0)                                  = buildcraft.fluid.heat_0 [fluid.oil_dense]
oil_dense_heat_1                                  (buildcraftenergy:fluid_block_oil_dense_heat_1)                                  = buildcraft.fluid.heat_1 [fluid.oil_dense]
oil_dense_heat_2                                  (buildcraftenergy:fluid_block_oil_dense_heat_2)                                  = buildcraft.fluid.heat_2 [fluid.oil_dense]
oil_distilled                                     (buildcraftenergy:fluid_block_oil_distilled_heat_0)                              = buildcraft.fluid.heat_0 [fluid.oil_distilled]
oil_distilled_heat_1                              (buildcraftenergy:fluid_block_oil_distilled_heat_1)                              = buildcraft.fluid.heat_1 [fluid.oil_distilled]
oil_distilled_heat_2                              (buildcraftenergy:fluid_block_oil_distilled_heat_2)                              = buildcraft.fluid.heat_2 [fluid.oil_distilled]
fuel_dense                                        (buildcraftenergy:fluid_block_fuel_dense_heat_0)                                 = buildcraft.fluid.heat_0 [fluid.fuel_dense]
fuel_dense_heat_1                                 (buildcraftenergy:fluid_block_fuel_dense_heat_1)                                 = buildcraft.fluid.heat_1 [fluid.fuel_dense]
fuel_dense_heat_2                                 (buildcraftenergy:fluid_block_fuel_dense_heat_2)                                 = buildcraft.fluid.heat_2 [fluid.fuel_dense]
fuel_mixed_heavy                                  (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_0)                           = buildcraft.fluid.heat_0 [fluid.fuel_mixed_heavy]
fuel_mixed_heavy_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_1)                           = buildcraft.fluid.heat_1 [fluid.fuel_mixed_heavy]
fuel_mixed_heavy_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_2)                           = buildcraft.fluid.heat_2 [fluid.fuel_mixed_heavy]
fuel_light                                        (buildcraftenergy:fluid_block_fuel_light_heat_0)                                 = buildcraft.fluid.heat_0 [fluid.fuel_light]
fuel_light_heat_1                                 (buildcraftenergy:fluid_block_fuel_light_heat_1)                                 = buildcraft.fluid.heat_1 [fluid.fuel_light]
fuel_light_heat_2                                 (buildcraftenergy:fluid_block_fuel_light_heat_2)                                 = buildcraft.fluid.heat_2 [fluid.fuel_light]
fuel_mixed_light                                  (buildcraftenergy:fluid_block_fuel_mixed_light_heat_0)                           = buildcraft.fluid.heat_0 [fluid.fuel_mixed_light]
fuel_mixed_light_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_1)                           = buildcraft.fluid.heat_1 [fluid.fuel_mixed_light]
fuel_mixed_light_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_2)                           = buildcraft.fluid.heat_2 [fluid.fuel_mixed_light]
fuel_gaseous                                      (buildcraftenergy:fluid_block_fuel_gaseous_heat_0)                               = buildcraft.fluid.heat_0 [fluid.fuel_gaseous]
fuel_gaseous_heat_1                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_1)                               = buildcraft.fluid.heat_1 [fluid.fuel_gaseous]
fuel_gaseous_heat_2                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_2)                               = buildcraft.fluid.heat_2 [fluid.fuel_gaseous]
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = Ethanol
biomass                                           (forestry:fluid.biomass)                                                         = Biomass
glass                                             (forestry:fluid.glass)                                                           = Liquid Glass
for.honey                                         (forestry:fluid.for.honey)                                                       = Honey
ice                                               (forestry:fluid.ice)                                                             = Crushed Ice
juice                                             (forestry:fluid.juice)                                                           = Fruit Juice
milk                                              (forestry:fluid.milk)                                                            = Milk
seed.oil                                          (forestry:fluid.seed.oil)                                                        = Seed Oil
short.mead                                        (forestry:fluid.short.mead)                                                      = Short Mead
binnie.growth.medium                              (genetics:binnie.growth.medium)                                                  = Growth Medium
binnie.bacteria                                   (genetics:binnie.bacteria)                                                       = Bacteria
binnie.bacteria.poly                              (genetics:binnie.bacteria.poly)                                                  = Polymerising Bacteria
binnie.dna.raw                                    (genetics:binnie.dna.raw)                                                        = Raw DNA
binnie.bacteria.vector                            (genetics:binnie.bacteria.vector)                                                = Bacteria Vector
binnie.sap                                        (extratrees:binnie.sap)                                                          = Sap
binnie.resin                                      (extratrees:binnie.resin)                                                        = Resin
binnie.latex                                      (extratrees:binnie.latex)                                                        = Latex
binnie.turpentine                                 (extratrees:binnie.turpentine)                                                   = Turpentine
binnie.juice.apple                                (extratrees:binnie.juice.apple)                                                  = Apple Juice
binnie.juice.apricot                              (extratrees:binnie.juice.apricot)                                                = Apricot Juice
binnie.juice.banana                               (extratrees:binnie.juice.banana)                                                 = Banana Juice
binnie.juice.cherry                               (extratrees:binnie.juice.cherry)                                                 = Cherry Juice
binnie.juice.elderberry                           (extratrees:binnie.juice.elderberry)                                             = Elderberry Juice
binnie.juice.lemon                                (extratrees:binnie.juice.lemon)                                                  = Lemon Juice
binnie.juice.lime                                 (extratrees:binnie.juice.lime)                                                   = Lime Juice
binnie.juice.orange                               (extratrees:binnie.juice.orange)                                                 = Orange Juice
binnie.juice.peach                                (extratrees:binnie.juice.peach)                                                  = Peach Juice
binnie.juice.plum                                 (extratrees:binnie.juice.plum)                                                   = Plum Juice
binnie.juice.carrot                               (extratrees:binnie.juice.carrot)                                                 = Carrot Juice
binnie.juice.tomato                               (extratrees:binnie.juice.tomato)                                                 = Tomato Juice
binnie.juice.cranberry                            (extratrees:binnie.juice.cranberry)                                              = Cranberry Juice
binnie.juice.grapefruit                           (extratrees:binnie.juice.grapefruit)                                             = Grapefruit Juice
binnie.juice.olive                                (extratrees:binnie.juice.olive)                                                  = Olive Oil
binnie.juice.pineapple                            (extratrees:binnie.juice.pineapple)                                              = Pineapple Juice
binnie.juice.pear                                 (extratrees:binnie.juice.pear)                                                   = Pear Juice
binnie.juice.white.grape                          (extratrees:binnie.juice.white.grape)                                            = White Grape Juice
binnie.juice.red.grape                            (extratrees:binnie.juice.red.grape)                                              = Red Grape Juice
binnie.cider.apple                                (extratrees:binnie.cider.apple)                                                  = Cider
binnie.wine.apricot                               (extratrees:binnie.wine.apricot)                                                 = Apricot Wine
binnie.wine.banana                                (extratrees:binnie.wine.banana)                                                  = Banana Wine
binnie.wine.cherry                                (extratrees:binnie.wine.cherry)                                                  = Cherry Wine
binnie.wine.elderberry                            (extratrees:binnie.wine.elderberry)                                              = Elderberry Wine
binnie.cider.peach                                (extratrees:binnie.cider.peach)                                                  = Peach Cider
binnie.ciderpear                                  (extratrees:binnie.ciderpear)                                                    = Pear Cider
binnie.wine.plum                                  (extratrees:binnie.wine.plum)                                                    = Plum Wine
binnie.wine.carrot                                (extratrees:binnie.wine.carrot)                                                  = Carrot Wine
binnie.wine.white                                 (extratrees:binnie.wine.white)                                                   = White Wine
binnie.wine.red                                   (extratrees:binnie.wine.red)                                                     = Red Wine
binnie.wine.sparkling                             (extratrees:binnie.wine.sparkling)                                               = Sparkling Wine
binnie.wine.agave                                 (extratrees:binnie.wine.agave)                                                   = Agave Wine
binnie.fermented.potatoes                         (extratrees:binnie.fermented.potatoes)                                           = Fermented Potatoes
binnie.wine.citrus                                (extratrees:binnie.wine.citrus)                                                  = Citrus Wine
binnie.wine.cranberry                             (extratrees:binnie.wine.cranberry)                                               = Cranberry Wine
binnie.wine.pineapple                             (extratrees:binnie.wine.pineapple)                                               = Pineapple Wine
binnie.wine.tomato                                (extratrees:binnie.wine.tomato)                                                  = Tomato Wine
binnie.juice                                      (extratrees:binnie.juice)                                                        = Fruit Wine
binnie.beer.ale                                   (extratrees:binnie.beer.ale)                                                     = Ale
binnie.beer.lager                                 (extratrees:binnie.beer.lager)                                                   = Lager
